Gene ID,Fold change (Ketamine vs. Vehicle),P-value (Ketamine vs. Vehicle),,Fold change (L655 vs. Vehicle),P-value (L655 vs. Vehicle),,,,,
Lsm2,-1.03,0.55,,-1.30,0.00,,,,,
Lsm3,-1.06,0.33,,-1.09,0.18,,,,,
Lsm4,-1.21,0.01,,-1.40,0.00,,,,,
Lsm7,-1.19,0.03,,-1.34,0.00,,,,,
Lsm8,1.06,0.49,,-1.08,0.48,,,,,
Ltbp3,1.21,0.06,,1.11,0.23,,,,,
Ltbp4,1.22,0.02,,1.26,0.01,,,,,
Ltbr,1.06,0.58,,-1.17,0.13,,,,,
Ltk,1.12,0.29,,1.11,0.24,,,,,
Ltv1,1.07,0.28,,1.14,0.04,,,,,
Luc7l3,1.51,0.00,,1.63,0.00,,,,,
Lum,1.90,0.00,,1.84,0.00,,,,,
Luzp1,1.55,0.00,,1.74,0.00,,,,,
Lxn,1.05,0.45,,1.02,0.86,,,,,
Ly6e,-1.00,0.91,,-1.11,0.06,,,,,
Ly6h,-1.14,0.01,,-1.20,0.00,,,,,
Lynx1,1.45,0.00,,1.43,0.01,,,,,
Lypd1,-1.01,0.99,,-1.01,0.87,,,,,
Lypla2,-1.13,0.01,,-1.21,0.00,,,,,
Lyrm2,1.06,0.26,,1.05,0.37,,,,,
Lyrm7,1.07,0.31,,1.14,0.10,,,,,
Lysmd2,-1.07,0.35,,1.04,0.60,,,,,
Lyz2,-1.12,0.21,,-1.05,0.59,,,,,
Lyzl4,-1.08,0.65,,-1.33,0.07,,,,,
Lzic,1.10,0.16,,1.13,0.09,,,,,
Lztr1,1.17,0.02,,1.19,0.01,,,,,
Lzts1,-1.04,0.67,,1.35,0.03,,,,,
Lzts2,1.04,0.53,,1.03,0.67,,,,,
Lzts3,1.60,0.00,,1.59,0.00,,,,,
M6pr,1.10,0.05,,1.15,0.01,,,,,
Mad2l1bp,-1.06,0.35,,-1.04,0.54,,,,,
Mad2l2,1.02,0.82,,-1.14,0.05,,,,,
Madd,1.58,0.00,,1.74,0.00,,,,,
Maea,1.04,0.39,,1.04,0.37,,,,,
Maf,1.47,0.00,,1.40,0.01,,,,,
Maf1,1.00,0.96,,-1.01,0.86,,,,,
Mafb,1.07,0.33,,1.05,0.47,,,,,
Mafg,1.55,0.00,,1.61,0.00,,,,,
Mafk,1.11,0.11,,1.16,0.02,,,,,
Mag,1.27,0.08,,-1.04,0.85,,,,,
Maged1,1.10,0.06,,1.13,0.02,,,,,
Maged2,1.07,0.32,,1.06,0.39,,,,,
Magee1,1.06,0.36,,1.26,0.00,,,,,
Magee2,1.08,0.44,,1.24,0.05,,,,,
Mageh1,-1.06,0.28,,1.00,0.96,,,,,
Magoh,1.15,0.13,,1.15,0.12,,,,,
Maip1,1.06,0.22,,1.03,0.55,,,,,
Mak16,1.10,0.07,,1.09,0.12,,,,,
Mal,1.49,0.00,,1.17,0.12,,,,,
Mal2,1.08,0.43,,1.47,0.01,,,,,
Malsu1,1.00,0.98,,-1.05,0.24,,,,,
Man1b1,1.16,0.03,,1.19,0.01,,,,,
Man2a2,1.83,0.00,,1.87,0.00,,,,,
Man2b1,1.30,0.03,,1.15,0.19,,,,,
Man2c1,1.36,0.00,,1.25,0.01,,,,,
Manbal,-1.05,0.32,,-1.12,0.03,,,,,
Manf,-1.05,0.36,,-1.04,0.40,,,,,
Map1a,1.47,0.01,,1.72,0.00,,,,,
Map1b,1.43,0.01,,1.95,0.00,,,,,
Map1lc3a,-1.16,0.01,,-1.29,0.00,,,,,
Map1lc3b,1.03,0.39,,-1.03,0.42,,,,,
Map1s,1.17,0.04,,1.14,0.07,,,,,
Map2,2.50,0.00,,3.08,0.00,,,,,
Map2k2,-1.01,0.84,,-1.17,0.01,,,,,
Map2k7,1.56,0.00,,1.55,0.00,,,,,
Map3k10,1.26,0.01,,1.06,0.48,,,,,
Map3k11,1.35,0.00,,1.19,0.04,,,,,
Map3k12,1.25,0.01,,1.31,0.00,,,,,
Map4,1.23,0.01,,1.15,0.05,,,,,
Map4k2,1.35,0.00,,1.34,0.00,,,,,
Map6,1.13,0.08,,1.13,0.07,,,,,
Map6d1,1.76,0.00,,1.53,0.01,,,,,
Map7d1,1.11,0.05,,1.06,0.22,,,,,
Mapk1,1.13,0.11,,1.43,0.00,,,,,
Mapk11,1.37,0.00,,1.30,0.00,,,,,
Mapk14,1.15,0.05,,1.23,0.01,,,,,
Mapk1ip1,1.15,0.01,,1.07,0.13,,,,,
Mapk3,-1.02,0.68,,-1.02,0.55,,,,,
Mapk4,1.12,0.22,,1.07,0.40,,,,,
Mapk6,1.19,0.02,,1.28,0.00,,,,,
Mapk8ip1,1.12,0.07,,1.06,0.27,,,,,
Mapk8ip3,1.72,0.00,,1.79,0.00,,,,,
Mapk9,1.26,0.02,,1.62,0.00,,,,,
Mapkapk5,1.09,0.20,,-1.02,0.73,,,,,
Mapre1,1.11,0.17,,1.17,0.04,,,,,
Mapre3,-1.03,0.44,,-1.07,0.11,,,,,
Mapt,1.33,0.00,,1.42,0.00,,,,,
Marcks,-1.02,0.99,,1.32,0.16,,,,,
Marcksl1,-1.12,0.06,,-1.13,0.04,,,,,
Mark4,1.20,0.02,,1.17,0.04,,,,,
Mars,1.33,0.00,,1.30,0.00,,,,,
Marveld1,1.17,0.21,,1.09,0.43,,,,,
Mas1,1.30,0.01,,1.26,0.03,,,,,
MAST1,1.27,0.01,,1.31,0.01,,,,,
Mast3,1.30,0.01,,1.26,0.02,,,,,
Mat2a,1.50,0.00,,1.75,0.00,,,,,
Mat2b,-1.04,0.66,,1.08,0.26,,,,,
Matk,1.07,0.19,,-1.06,0.29,,,,,
Matr3,1.32,0.02,,1.66,0.00,,,,,
Mau2,1.31,0.00,,1.38,0.00,,,,,
Mavs,1.04,0.50,,1.10,0.13,,,,,
Maz,1.53,0.00,,1.43,0.00,,,,,
Mbd1,1.38,0.00,,1.48,0.00,,,,,
Mbd3,-1.05,0.15,,-1.14,0.00,,,,,
Mbd6,1.57,0.00,,1.33,0.01,,,,,
Mblac1,1.02,0.67,,-1.19,0.00,,,,,
Mbp,1.21,0.11,,-1.24,0.09,,,,,
Mbtps1,1.41,0.00,,1.36,0.00,,,,,
Mcam,1.36,0.00,,1.15,0.13,,,,,
Mcat,1.02,0.73,,-1.05,0.45,,,,,
Mcf2l,1.61,0.00,,1.66,0.00,,,,,
Mcfd2,-1.00,0.97,,1.05,0.35,,,,,
Mchr1,1.15,0.06,,1.18,0.04,,,,,
Mcl1,1.25,0.03,,1.54,0.00,,,,,
Mcm3ap,1.45,0.00,,1.56,0.00,,,,,
Mcm4,1.27,0.02,,1.51,0.00,,,,,
Mcm7,1.10,0.14,,-1.02,0.77,,,,,
Mcoln1,1.09,0.14,,1.09,0.12,,,,,
Mcrip1,-1.13,0.01,,-1.28,0.00,,,,,
Mcrip2,-1.12,0.10,,-1.37,0.00,,,,,
Mcrs1,1.03,0.41,,-1.05,0.22,,,,,
Mcts1,1.25,0.07,,1.86,0.00,,,,,
Mdh1,1.02,0.74,,1.07,0.18,,,,,
Mdh2,-1.05,0.22,,-1.05,0.27,,,,,
Mdk,-1.48,0.57,,-4.35,0.03,,,,,
Mdm2,1.05,0.49,,1.08,0.29,,,,,
Mdp1,-1.06,0.47,,1.03,0.64,,,,,
Mea1,-1.17,0.02,,-1.30,0.00,,,,,
Meaf6,1.03,0.66,,1.04,0.47,,,,,
Med10,-1.10,0.18,,-1.13,0.09,,,,,
Med11,-1.13,0.08,,-1.36,0.00,,,,,
Med16,1.16,0.03,,1.04,0.45,,,,,
Med18,1.09,0.21,,1.07,0.33,,,,,
Med19,1.02,0.75,,1.07,0.33,,,,,
Med20,1.06,0.26,,1.11,0.06,,,,,
Med21,-1.00,0.99,,1.14,0.12,,,,,
Med24,1.22,0.00,,1.19,0.01,,,,,
Med25,1.25,0.01,,1.06,0.39,,,,,
Med28,-1.03,0.61,,-1.03,0.64,,,,,
Med29,-1.01,0.89,,-1.11,0.06,,,,,
Med31,-1.04,0.56,,1.00,1.00,,,,,
Med4,1.01,0.98,,1.01,0.88,,,,,
Med7,-1.06,0.57,,1.22,0.07,,,,,
Med8,1.31,0.15,,1.41,0.04,,,,,
Med9,-1.04,0.51,,-1.01,0.84,,,,,
Mef2d,1.77,0.00,,1.90,0.00,,,,,
Megf8,1.41,0.02,,1.64,0.00,,,,,
Meis3,-1.01,0.86,,-1.11,0.10,,,,,
Men1,1.11,0.08,,1.10,0.09,,,,,
Mesdc1,-1.04,0.46,,-1.02,0.68,,,,,
Mesdc2,1.03,0.63,,1.05,0.40,,,,,
Metap1,1.18,0.02,,1.24,0.00,,,,,
Metap2,1.12,0.22,,1.29,0.01,,,,,
Metrn,-1.04,0.54,,-1.23,0.00,,,,,
Mettl13,1.17,0.05,,1.15,0.07,,,,,
Mettl14,1.08,0.23,,1.26,0.00,,,,,
Mettl18,1.05,0.95,,1.26,0.12,,,,,
Mettl23,1.02,0.90,,1.04,0.65,,,,,
Mettl3,1.07,0.22,,1.08,0.16,,,,,
Mettl7a,1.11,0.08,,-1.02,0.76,,,,,
Mex3b,-1.02,0.88,,1.21,0.03,,,,,
Mex3c,1.08,0.36,,1.59,0.00,,,,,
Mfap1a,1.46,0.00,,1.61,0.00,,,,,
Mfap3l,2.36,0.00,,2.65,0.00,,,,,
Mfge8,-1.04,0.68,,-1.06,0.54,,,,,
Mfn2,1.21,0.02,,1.30,0.00,,,,,
Mfsd1,1.37,0.00,,1.44,0.00,,,,,
Mfsd10,1.31,0.02,,1.19,0.08,,,,,
Mfsd11,1.10,0.15,,1.15,0.03,,,,,
Mfsd12,1.70,0.00,,1.58,0.00,,,,,
Mfsd13a,1.09,0.27,,-1.04,0.57,,,,,
Mfsd14a,-1.08,0.56,,1.10,0.53,,,,,
Mfsd2a,1.25,0.01,,1.00,0.98,,,,,
Mfsd3,-1.02,0.71,,-1.22,0.02,,,,,
Mfsd5,-1.08,0.09,,-1.08,0.11,,,,,
Mfsd6,1.29,0.02,,1.56,0.00,,,,,
Mgat1,1.04,0.55,,1.03,0.67,,,,,
Mgat2,1.14,0.04,,1.28,0.00,,,,,
Mgat3,1.75,0.00,,1.88,0.00,,,,,
Mgat4b,1.13,0.02,,1.01,0.85,,,,,
MGC109340,1.01,0.88,,1.22,0.07,,,,,
MGC116121,1.19,0.08,,1.28,0.01,,,,,
MGC94207,1.03,0.50,,-1.06,0.25,,,,,
MGC95208,1.16,0.07,,1.37,0.00,,,,,
Mgea5,1.73,0.00,,1.94,0.00,,,,,
Mgp,1.23,0.73,,-1.36,0.28,,,,,
Mgrn1,1.38,0.00,,1.29,0.01,,,,,
Mgst3,-1.26,0.00,,-1.23,0.01,,,,,
Miat,2.28,0.00,,2.26,0.00,,,,,
Mib2,1.20,0.01,,1.20,0.01,,,,,
Mical1,1.48,0.00,,1.23,0.07,,,,,
Mical2,1.57,0.00,,1.61,0.00,,,,,
Micu1,1.13,0.04,,1.07,0.21,,,,,
Mid1ip1,1.01,0.87,,-1.04,0.45,,,,,
Midn,1.36,0.01,,1.35,0.01,,,,,
Mief1,1.55,0.01,,1.54,0.01,,,,,
Mien1,-1.10,0.05,,-1.20,0.00,,,,,
Mier2,1.14,0.08,,1.03,0.72,,,,,
Mif,-1.18,0.00,,-1.34,0.00,,,,,
Mif4gd,-1.11,0.27,,-1.10,0.40,,,,,
Miga2,1.21,0.01,,1.10,0.14,,,,,
Mink1,1.50,0.00,,1.47,0.00,,,,,
Minos1,-1.07,0.32,,-1.15,0.05,,,,,
Minpp1,1.12,0.13,,1.15,0.06,,,,,
Mis12,1.96,0.00,,3.06,0.00,,,,,
Mk1,1.22,0.10,,1.09,0.43,,,,,
Mkks,1.02,0.71,,1.12,0.15,,,,,
Mknk2,1.13,0.05,,1.10,0.09,,,,,
Mkrn1,1.20,0.03,,1.30,0.00,,,,,
Mkrn2,1.11,0.11,,1.13,0.05,,,,,
Mlc1,1.06,0.32,,1.05,0.43,,,,,
Mlec,2.11,0.00,,2.20,0.00,,,,,
Mlf2,-1.08,0.09,,-1.20,0.00,,,,,
Mllt1,1.06,0.31,,1.08,0.19,,,,,
Mllt11,-1.02,0.84,,1.06,0.35,,,,,
Mlst8,1.16,0.04,,1.12,0.10,,,,,
Mlx,1.03,0.54,,1.09,0.08,,,,,
Mlycd,-1.07,0.16,,-1.09,0.08,,,,,
Mmachc,1.18,0.03,,1.25,0.01,,,,,
Mmadhc,1.08,0.40,,1.13,0.18,,,,,
Mmd,1.10,0.27,,1.33,0.01,,,,,
Mmd2,1.11,0.13,,1.14,0.06,,,,,
Mmgt1,1.19,0.10,,1.53,0.00,,,,,
Mmgt2,1.05,0.60,,1.22,0.06,,,,,
Mmp15,1.11,0.18,,1.03,0.59,,,,,
Mmp17,1.07,0.29,,1.13,0.09,,,,,
Mmp24,-1.01,0.82,,-1.05,0.33,,,,,
Mnt,1.22,0.00,,1.27,0.00,,,,,
Moap1,1.01,0.91,,1.36,0.00,,,,,
Mob1a,1.26,0.02,,1.49,0.00,,,,,
Mob4,-1.04,0.80,,1.21,0.12,,,,,
Mobp,1.70,0.01,,1.12,0.34,,,,,
Mocs2,-1.03,0.52,,-1.02,0.74,,,,,
Mocs3,1.22,0.00,,1.13,0.05,,,,,
Mog,1.32,0.02,,1.02,0.76,,,,,
Mon1b,1.28,0.03,,1.32,0.01,,,,,
Morf4l1,1.03,0.62,,1.21,0.01,,,,,
Morf4l2,1.00,0.93,,1.33,0.00,,,,,
Morn4,-1.08,0.22,,-1.06,0.30,,,,,
Mospd3,-1.10,0.07,,-1.23,0.00,,,,,
Mpc1,1.01,0.75,,1.02,0.74,,,,,
Mpc2,-1.15,0.05,,-1.09,0.20,,,,,
Mpdu1,-1.12,0.06,,-1.15,0.02,,,,,
Mpeg1,1.22,0.00,,1.36,0.00,,,,,
Mphosph6,-1.01,0.90,,1.01,0.88,,,,,
Mphosph8,1.31,0.01,,1.54,0.00,,,,,
Mpi,1.07,0.27,,1.06,0.34,,,,,
Mpnd,1.09,0.10,,-1.13,0.04,,,,,
Mpp1,1.06,0.30,,-1.23,0.00,,,,,
Mpp2,1.52,0.00,,1.59,0.00,,,,,
Mpp3,1.22,0.02,,1.09,0.25,,,,,
Mpped1,1.06,0.30,,1.24,0.00,,,,,
Mprip,1.24,0.01,,1.34,0.00,,,,,
Mpst,-1.02,0.71,,-1.25,0.00,,,,,
Mpv17l2,-1.08,0.14,,-1.29,0.00,,,,,
Mpzl1,1.15,0.03,,1.17,0.02,,,,,
Mras,1.22,0.01,,1.23,0.00,,,,,
Mrfap1,-1.01,0.93,,1.04,0.54,,,,,
Mrgpre,1.50,0.02,,1.65,0.01,,,,,
Mri1,-1.06,0.34,,-1.24,0.00,,,,,
Mrm1,1.23,0.09,,1.27,0.04,,,,,
Mrm3,-1.06,0.44,,-1.04,0.66,,,,,
Mrpl10,1.05,0.26,,1.00,0.94,,,,,
mrpl11,1.04,0.40,,-1.06,0.31,,,,,
Mrpl12,-1.21,0.00,,-1.22,0.00,,,,,
Mrpl13,-1.13,0.13,,-1.19,0.04,,,,,
Mrpl14,-1.24,0.01,,-1.39,0.00,,,,,
Mrpl15,1.15,0.02,,1.02,0.68,,,,,
Mrpl16,1.08,0.17,,1.04,0.45,,,,,
Mrpl17,-1.02,0.58,,-1.01,0.67,,,,,
Mrpl18,-1.08,0.21,,1.13,0.07,,,,,
Mrpl19,1.08,0.14,,1.06,0.22,,,,,
Mrpl2,-1.22,0.00,,-1.32,0.00,,,,,
Mrpl20,-1.19,0.00,,-1.18,0.00,,,,,
Mrpl21,-1.13,0.08,,-1.05,0.46,,,,,
Mrpl23,-1.16,0.01,,-1.40,0.00,,,,,
mrpl24,1.01,0.72,,-1.02,0.57,,,,,
Mrpl27,-1.18,0.02,,-1.23,0.00,,,,,
Mrpl3,1.05,0.31,,1.01,0.86,,,,,
Mrpl32,1.02,0.84,,-1.02,0.72,,,,,
Mrpl34,-1.23,0.00,,-1.34,0.00,,,,,
Mrpl35,1.02,0.74,,1.11,0.12,,,,,
Mrpl37,-1.06,0.18,,-1.08,0.05,,,,,
Mrpl38,-1.07,0.15,,-1.10,0.05,,,,,
Mrpl4,1.09,0.05,,1.03,0.41,,,,,
Mrpl40,-1.01,0.85,,1.01,0.91,,,,,
Mrpl41,-1.04,0.39,,-1.16,0.00,,,,,
Mrpl43,-1.03,0.51,,-1.08,0.10,,,,,
Mrpl44,-1.03,0.57,,1.02,0.68,,,,,
Mrpl45,-1.09,0.06,,-1.04,0.33,,,,,
Mrpl46,-1.11,0.05,,-1.13,0.03,,,,,
Mrpl49,1.12,0.11,,1.06,0.35,,,,,
Mrpl50,-1.14,0.09,,1.05,0.56,,,,,
Mrpl51,1.22,0.02,,1.38,0.00,,,,,
Mrpl52,-1.10,0.16,,-1.39,0.00,,,,,
Mrpl54,-1.19,0.02,,-1.43,0.00,,,,,
Mrpl55,-1.18,0.01,,-1.32,0.00,,,,,
Mrpl57,-1.24,0.00,,-1.36,0.00,,,,,
Mrpl58,-1.12,0.04,,-1.28,0.00,,,,,
mrpl9,1.03,0.47,,-1.03,0.46,,,,,
Mrps11,-1.16,0.01,,-1.22,0.00,,,,,
Mrps12,-1.10,0.04,,-1.21,0.00,,,,,
Mrps14,-1.12,0.09,,-1.10,0.17,,,,,
Mrps15,1.03,0.65,,-1.02,0.77,,,,,
Mrps16,-1.06,0.26,,-1.11,0.08,,,,,
Mrps17,1.08,0.24,,1.02,0.66,,,,,
Mrps18a,-1.14,0.02,,-1.23,0.00,,,,,
Mrps18b,-1.01,0.85,,-1.11,0.06,,,,,
Mrps18c,1.01,0.82,,1.01,0.92,,,,,
Mrps2,1.05,0.45,,1.13,0.06,,,,,
Mrps21,-1.09,0.25,,-1.23,0.01,,,,,
Mrps22,1.14,0.10,,1.20,0.04,,,,,
Mrps23,-1.16,0.02,,-1.21,0.00,,,,,
Mrps24,-1.07,0.31,,-1.18,0.02,,,,,
Mrps25,-1.19,0.00,,-1.27,0.00,,,,,
Mrps26,-1.07,0.20,,-1.29,0.00,,,,,
Mrps30,1.06,0.30,,1.31,0.00,,,,,
Mrps33,-1.01,0.80,,-1.05,0.41,,,,,
Mrps34,-1.20,0.01,,-1.30,0.00,,,,,
Mrps36,-1.04,0.76,,1.11,0.20,,,,,
Mrps5,1.15,0.05,,1.10,0.14,,,,,
Mrps7,-1.15,0.00,,-1.19,0.00,,,,,
Mrto4,1.09,0.20,,1.01,0.91,,,,,
Msantd4,1.16,0.09,,1.54,0.00,,,,,
Msl1,1.23,0.02,,1.35,0.00,,,,,
Msl3,1.21,0.04,,1.44,0.00,,,,,
Msl3l2,1.07,0.19,,-1.05,0.38,,,,,
Msmo1,-1.00,0.94,,1.08,0.32,,,,,
Msrb1,-1.16,0.03,,-1.19,0.01,,,,,
Msto1,-1.09,0.21,,-1.07,0.37,,,,,
Msx1,-1.12,0.70,,-2.11,0.19,,,,,
Mt1,-1.01,0.91,,-1.46,0.02,,,,,
Mt2A,1.41,0.03,,-1.27,0.12,,,,,
Mt3,-1.18,0.01,,-1.45,0.00,,,,,
Mta1,1.14,0.02,,1.10,0.08,,,,,
Mta2,1.26,0.00,,1.24,0.00,,,,,
Mtch1,-1.12,0.01,,-1.20,0.00,,,,,
Mtch2,1.12,0.07,,1.22,0.01,,,,,
Mterf4,1.02,0.78,,1.13,0.06,,,,,
Mtfp1,-1.25,0.00,,-1.08,0.24,,,,,
Mtfr1l,1.10,0.08,,1.19,0.00,,,,,
Mtg2,-1.02,0.67,,-1.07,0.20,,,,,
Mtm1,1.18,0.03,,1.24,0.01,,,,,
Mtmr1,1.05,0.36,,1.05,0.38,,,,,
Mtmr4,1.35,0.01,,1.57,0.00,,,,,
Mtmr6,1.21,0.04,,1.51,0.00,,,,,
Mtmr9,2.06,0.00,,2.42,0.00,,,,,
Mtpn,1.59,0.00,,1.87,0.00,,,,,
Mtss1l,1.44,0.00,,1.38,0.01,,,,,
Mturn,2.04,0.00,,2.09,0.00,,,,,
Mtx1,1.03,0.43,,-1.06,0.13,,,,,
Mul1,1.10,0.14,,1.18,0.01,,,,,
Mum1,1.07,0.29,,1.08,0.21,,,,,
Mum1l1,1.41,0.03,,1.87,0.00,,,,,
Mus81,1.13,0.04,,-1.01,0.91,,,,,
Mustn1,1.01,0.97,,1.13,0.44,,,,,
Mvb12a,1.02,0.70,,-1.34,0.00,,,,,
Mvd,-1.12,0.08,,-1.23,0.00,,,,,
Mvk,-1.06,0.57,,-1.15,0.13,,,,,
Mxd4,1.57,0.00,,1.56,0.00,,,,,
Mxi1,1.13,0.10,,1.20,0.02,,,,,
Mxra8,1.24,0.22,,1.06,0.61,,,,,
Myadm,1.05,0.30,,1.30,0.00,,,,,
Myadml2,1.31,0.02,,1.27,0.03,,,,,
Mybbp1a,1.42,0.00,,1.40,0.00,,,,,
Mybph,1.21,0.10,,-1.13,0.30,,,,,
Myc,1.04,0.70,,1.02,0.75,,,,,
Mycl,1.42,0.03,,1.41,0.03,,,,,
Mycn,-1.16,0.15,,1.15,0.12,,,,,
Myd88,1.06,0.40,,1.06,0.40,,,,,
Myef2,1.24,0.02,,1.43,0.00,,,,,
Myg1,-1.10,0.09,,-1.20,0.00,,,,,
Myh10,1.35,0.01,,1.73,0.00,,,,,
Myl12a,1.15,0.27,,1.00,0.99,,,,,
Myl12b,-1.02,0.66,,-1.01,0.87,,,,,
Myl6,-1.11,0.10,,-1.06,0.32,,,,,
Myl6b,-1.19,0.04,,-1.56,0.00,,,,,
Myl6l,-1.29,0.01,,-1.79,0.00,,,,,
Myl9,1.10,0.68,,-1.12,0.47,,,,,
Myo18a,1.53,0.00,,1.58,0.00,,,,,
Mypop,-1.04,0.54,,-1.17,0.03,,,,,
Myrf,1.46,0.01,,1.19,0.14,,,,,
Mzf1,1.40,0.00,,1.29,0.01,,,,,
Mzt2b,1.12,0.09,,1.10,0.14,,,,,
Naa10,-1.04,0.54,,-1.05,0.51,,,,,
Naa20,-1.05,0.53,,1.06,0.36,,,,,
Naa30,1.10,0.36,,1.57,0.00,,,,,
Naa38,-1.16,0.00,,-1.34,0.00,,,,,
Naa60,1.15,0.02,,1.16,0.01,,,,,
Nab2,-1.01,0.90,,1.09,0.11,,,,,
Nabp2,-1.04,0.32,,-1.13,0.01,,,,,
Naca,-1.06,0.24,,-1.11,0.06,,,,,
Nacad,1.31,0.01,,1.21,0.03,,,,,
Nacc1,1.75,0.00,,1.73,0.00,,,,,
Nadk,1.13,0.05,,1.11,0.09,,,,,
Naga,1.02,0.77,,-1.00,0.97,,,,,
Nagk,-1.04,0.52,,-1.03,0.67,,,,,
Nans,1.15,0.06,,1.14,0.06,,,,,
Nap1l1,1.26,0.03,,1.58,0.00,,,,,
Nap1l2,1.06,0.54,,1.53,0.00,,,,,
Nap1l3,1.05,0.52,,1.46,0.00,,,,,
Nap1l4,1.09,0.15,,1.17,0.02,,,,,
Nap1l5,-1.20,0.12,,1.04,0.76,,,,,
Napa,1.04,0.57,,-1.05,0.50,,,,,
Napb,2.20,0.00,,2.54,0.00,,,,,
Napg,1.16,0.11,,1.41,0.00,,,,,
Naprt,1.00,0.98,,-1.13,0.09,,,,,
Narf,1.17,0.06,,1.31,0.00,,,,,
Narfl,1.10,0.14,,-1.03,0.60,,,,,
Nars,1.13,0.04,,1.17,0.01,,,,,
Nat14,-1.18,0.00,,-1.16,0.01,,,,,
Nat6,-1.01,0.92,,-1.16,0.05,,,,,
Nat8l,1.40,0.00,,1.35,0.00,,,,,
Nat9,-1.13,0.05,,-1.16,0.03,,,,,
Naxd,-1.03,0.56,,-1.06,0.26,,,,,
Naxe,-1.10,0.07,,-1.12,0.03,,,,,
Nbl1,1.07,0.46,,-1.05,0.61,,,,,
Nbr1,1.27,0.00,,1.37,0.00,,,,,
Ncald,1.12,0.11,,1.22,0.01,,,,,
Ncan,1.90,0.00,,2.03,0.00,,,,,
Ncaph2,1.26,0.01,,1.16,0.06,,,,,
Ncbp1,1.20,0.02,,1.43,0.00,,,,,
Ncdn,1.16,0.05,,1.14,0.08,,,,,
Nckap1,1.37,0.01,,1.86,0.00,,,,,
Nckap5l,1.30,0.02,,1.28,0.02,,,,,
Nckipsd,1.06,0.31,,1.10,0.10,,,,,
Ncl,1.27,0.01,,1.42,0.00,,,,,
Ncln,1.22,0.01,,1.08,0.25,,,,,
Ncoa4,1.16,0.07,,1.38,0.00,,,,,
Ncoa5,1.06,0.33,,1.10,0.11,,,,,
Ncoa6,1.42,0.01,,1.76,0.00,,,,,
Ncs1,1.59,0.00,,1.53,0.00,,,,,
Ncstn,1.12,0.06,,1.13,0.03,,,,,
Ndel1,1.04,0.44,,1.15,0.01,,,,,
Ndfip1,-1.01,0.98,,1.15,0.11,,,,,
Ndfip2,1.09,0.27,,1.26,0.01,,,,,
Ndn,-1.11,0.03,,-1.10,0.05,,,,,
Ndor1,1.04,0.48,,1.03,0.60,,,,,
Ndrg1,1.23,0.02,,1.10,0.23,,,,,
Ndrg2,1.07,0.28,,1.08,0.26,,,,,
Ndrg3,1.05,0.42,,1.12,0.08,,,,,
Ndrg4,1.07,0.20,,1.18,0.01,,,,,
Ndufa10,1.01,0.86,,-1.03,0.55,,,,,
Ndufa10l1,1.15,0.02,,1.13,0.04,,,,,
Ndufa11,-1.21,0.00,,-1.32,0.00,,,,,
Ndufa12,-1.11,0.09,,-1.20,0.01,,,,,
Ndufa2,-1.21,0.00,,-1.33,0.00,,,,,
Ndufa4,-1.03,0.46,,-1.06,0.16,,,,,
Ndufa4l2,-1.35,0.02,,-1.23,0.10,,,,,
Ndufa5,1.00,0.93,,-1.02,0.78,,,,,
Ndufa6,-1.14,0.03,,-1.33,0.00,,,,,
Ndufa7,-1.24,0.00,,-1.29,0.00,,,,,
Ndufa8,-1.04,0.38,,-1.08,0.15,,,,,
Ndufa9,-1.04,0.40,,-1.03,0.53,,,,,
Ndufab1,-1.05,0.42,,-1.03,0.63,,,,,
Ndufaf3,-1.10,0.04,,-1.17,0.00,,,,,
Ndufaf4,1.09,0.38,,1.36,0.01,,,,,
Ndufaf7,-1.01,0.92,,1.17,0.05,,,,,
Ndufb10,-1.14,0.01,,-1.23,0.00,,,,,
Ndufb11,-1.18,0.00,,-1.31,0.00,,,,,
Ndufb2,-1.19,0.01,,-1.34,0.00,,,,,
Ndufb3,-1.06,0.31,,-1.12,0.04,,,,,
Ndufb4,-1.06,0.20,,-1.23,0.00,,,,,
Ndufb5,-1.08,0.16,,-1.14,0.03,,,,,
Ndufb6,-1.14,0.01,,-1.11,0.04,,,,,
Ndufb7,-1.21,0.00,,-1.38,0.00,,,,,
Ndufb8,-1.18,0.00,,-1.29,0.00,,,,,
Ndufb9,-1.21,0.00,,-1.30,0.00,,,,,
Ndufc2,-1.09,0.50,,1.15,0.26,,,,,
Ndufs1,1.25,0.01,,1.39,0.00,,,,,
Ndufs2,-1.04,0.24,,-1.02,0.57,,,,,
Ndufs3,-1.12,0.01,,-1.16,0.00,,,,,
Ndufs5,-1.20,0.00,,-1.30,0.00,,,,,
Ndufs6,-1.12,0.40,,-1.31,0.08,,,,,
Ndufs7,-1.20,0.01,,-1.28,0.00,,,,,
Ndufs8,-1.21,0.00,,-1.27,0.00,,,,,
Ndufv1,-1.09,0.03,,-1.11,0.01,,,,,
Ndufv2,-1.02,0.69,,-1.08,0.20,,,,,
Ndufv3,-1.13,0.01,,-1.22,0.00,,,,,
Necab2,1.02,0.72,,-1.05,0.29,,,,,
Necab3,-1.17,0.30,,1.01,0.94,,,,,
Necap1,1.03,0.55,,1.16,0.01,,,,,
Necap2,1.01,0.90,,-1.06,0.46,,,,,
Nectin1,1.26,0.01,,1.33,0.00,,,,,
