Gene ID,Fold change (Ketamine vs. Vehicle),P-value (Ketamine vs. Vehicle),Fold change (L655 vs. Vehicle),P-value (L655 vs. Vehicle)
Oat,1.02,0.7,1.09,0.11
Oaz1,-1.1,0.02,-1.21,0.0
Oaz2,1.03,0.44,-1.04,0.34
Ocel1,-1.12,0.07,-1.31,0.0
Ociad1,-1.03,0.56,1.01,0.91
Ociad2,-1.02,0.84,1.2,0.02
Odc1,1.15,0.04,1.11,0.09
Ogdh,1.47,0.0,1.53,0.0
Ogdhl,1.1,0.11,1.16,0.02
Ogfod2,-1.01,0.77,-1.1,0.19
Ogfr,1.02,0.6,-1.04,0.43
Ogfrl1,1.64,0.0,1.98,0.0
Ogt,1.52,0.0,2.0,0.0
Olfm1,1.05,0.37,1.03,0.6
Olfml1,1.4,0.01,1.5,0.0
Olfml3,1.46,0.19,1.12,0.61
Olig1,1.2,0.05,-1.03,0.75
Olig2,1.8,0.0,1.09,0.32
Olr1462,1.03,0.83,-1.11,0.86
Omg,1.18,0.05,1.43,0.0
Opa3,1.41,0.01,1.37,0.01
Opalin,1.37,0.01,1.18,0.1
Oplah,1.21,0.03,1.13,0.15
Oprl1,1.13,0.23,1.64,0.0
Optn,1.4,0.01,1.55,0.0
Orai2,1.37,0.01,1.38,0.0
Orai3,-1.08,0.33,1.0,0.98
Oraov1,1.08,0.19,1.18,0.01
Ormdl2,1.07,0.14,-1.07,0.14
Ormdl3,1.38,0.0,1.25,0.01
Os9,1.09,0.06,1.11,0.03
Osbp,1.17,0.03,1.34,0.0
Osbpl2,1.14,0.07,1.27,0.0
Osbpl7,1.17,0.04,1.06,0.42
Osgep,-1.11,0.14,-1.1,0.18
Osr1,1.66,0.01,1.08,0.58
Ost4,-1.19,0.01,-1.18,0.01
Ostc,-1.06,0.38,-1.03,0.58
Ostm1,1.44,0.0,1.55,0.0
Otub1,-1.09,0.06,-1.17,0.0
Otub2,1.12,0.1,1.22,0.01
Otud5,1.19,0.0,1.14,0.02
Otud6b,1.51,0.0,1.75,0.0
Ovca2,1.04,0.58,1.08,0.26
Oxa1l,1.01,0.82,-1.06,0.18
Oxct1,1.16,0.1,1.49,0.0
Oxld1,-1.28,0.0,-1.31,0.0
Oxsm,1.3,0.0,1.36,0.0
P2ry12,-1.03,0.7,1.11,0.16
P2ry13,1.16,0.51,1.51,0.03
P3h3,1.25,0.01,1.13,0.11
P3h4,-1.05,0.59,-1.17,0.11
P4hb,1.09,0.11,1.09,0.11
Pa2g4,1.07,0.26,1.1,0.12
Pabpc1,1.45,0.0,1.43,0.0
Pabpc4,1.27,0.0,1.3,0.0
Pabpn1,1.15,0.03,1.09,0.16
Pacsin1,1.89,0.0,1.9,0.0
Pacsin3,1.04,0.76,-1.07,0.41
Padi2,1.35,0.01,1.27,0.04
Paf1,1.01,0.72,-1.01,0.77
Pafah1b1,1.51,0.0,2.11,0.0
Pafah1b2,1.32,0.0,1.59,0.0
Pafah1b3,-1.23,0.06,-1.2,0.11
Pagr1,1.07,0.18,1.02,0.61
Paics,1.17,0.03,1.08,0.24
Paip1,1.15,0.16,1.43,0.0
Paip2,-1.01,0.85,1.11,0.15
Pak1,1.16,0.09,1.31,0.01
Pak6,1.41,0.01,1.61,0.0
Palm,1.04,0.51,1.03,0.67
Pam,1.2,0.01,1.28,0.0
Pam16,-1.25,0.0,-1.4,0.0
Pank3,1.39,0.01,2.03,0.0
Pank4,1.19,0.01,1.25,0.0
Panx2,1.22,0.01,1.19,0.02
Papd7,1.07,0.39,1.27,0.01
Papola,1.29,0.01,1.57,0.0
Paqr3,1.24,0.01,1.47,0.0
Paqr4,-1.0,0.98,-1.04,0.42
Paqr6,1.0,0.9,-1.17,0.2
Paqr7,1.13,0.18,1.08,0.35
Paqr8,1.97,0.0,2.1,0.0
Paqr9,1.38,0.0,1.67,0.0
Pard6a,-1.19,0.04,-1.12,0.16
Park7,-1.18,0.0,-1.26,0.0
Parp1,1.17,0.06,1.25,0.01
Parp6,1.15,0.02,1.12,0.04
Pars2,1.1,0.09,1.01,0.86
Patz1,1.1,0.06,1.09,0.08
Pbdc1,1.08,0.29,1.1,0.19
Pbx2,1.12,0.02,1.18,0.0
Pbxip1,1.13,0.28,-1.03,0.93
Pcbd1,-1.07,0.34,-1.23,0.02
Pcbp2,1.09,0.16,1.09,0.14
Pcbp4,1.01,0.83,-1.15,0.02
Pcdh20,1.48,0.01,1.79,0.0
Pcdh8,1.12,0.06,1.21,0.01
Pcdhb20,1.14,0.19,1.38,0.0
Pcdhb3,-1.07,0.87,1.32,0.05
Pcdhb4,1.15,0.33,1.49,0.01
Pcdhb5,1.3,0.08,1.61,0.0
Pcdhb8,-1.03,0.75,1.21,0.22
Pcdhb9,1.19,0.08,1.45,0.0
Pcdhgc3,1.14,0.11,1.09,0.24
Pced1a,1.28,0.02,1.12,0.19
Pcgf2,1.01,0.84,1.06,0.64
Pcif1,1.19,0.01,1.07,0.24
Pck2,1.05,0.3,1.0,0.89
Pcmt1,1.07,0.32,1.22,0.01
Pcmtd1,1.23,0.03,1.39,0.0
Pcmtd2,1.17,0.12,1.52,0.0
Pcna,1.1,0.34,1.2,0.06
Pcnp,1.26,0.02,1.17,0.1
Pcp4,-1.2,0.04,-1.25,0.02
Pcsk1n,-1.18,0.04,-1.61,0.0
Pcyox1,1.46,0.0,1.68,0.0
Pcyox1l,1.06,0.43,1.05,0.47
Pcyt2,1.08,0.19,-1.05,0.44
Pdap1,-1.1,0.04,-1.14,0.01
Pdcd2,-1.02,0.76,-1.01,0.95
Pdcd4,1.14,0.18,1.39,0.0
Pdcd6,1.05,0.32,1.06,0.31
Pdcd6ip,1.24,0.02,1.34,0.0
Pdcd7,1.01,0.89,1.06,0.26
Pdcl,1.23,0.02,1.41,0.0
Pdcl3,1.09,0.26,1.15,0.07
Pde1b,1.34,0.0,1.45,0.0
Pde2a,1.13,0.08,1.24,0.0
Pdgfra,1.53,0.0,1.5,0.01
Pdha1,1.09,0.3,1.29,0.01
Pdhb,-1.01,0.84,1.08,0.16
Pdia3,1.11,0.14,1.25,0.01
Pdia4,1.01,0.89,1.18,0.05
Pdia6,1.02,0.63,1.08,0.1
Pdk2,1.03,0.53,-1.04,0.42
Pdlim4,-1.18,0.08,-1.35,0.0
Pdlim7,-1.01,0.87,-1.22,0.01
Pdp1,1.29,0.03,1.73,0.0
Pdrg1,-1.06,0.28,-1.2,0.01
Pds5b,1.31,0.01,1.79,0.0
Pdxp,-1.07,0.17,-1.1,0.07
Pdyn,1.17,0.25,1.16,0.27
Pdzd11,-1.01,0.87,1.03,0.71
Pdzd3,1.03,0.78,1.07,0.45
Pdzd4,1.05,0.32,1.11,0.05
Pea15,1.01,0.9,-1.0,0.96
Pebp1,-1.15,0.01,-1.33,0.0
Pef1,-1.07,0.17,-1.11,0.04
Peg3,1.28,0.06,1.85,0.0
Pelo,-1.1,0.06,-1.15,0.01
Pelp1,1.24,0.01,1.24,0.01
Penk,-1.45,0.24,-1.34,0.56
Peo1,1.15,0.04,1.25,0.0
Per1,1.62,0.0,1.69,0.0
Per2,1.23,0.04,1.62,0.0
Pes1,1.07,0.25,1.04,0.5
Pet100,-1.23,0.05,-1.14,0.13
Pex10,1.06,0.35,1.07,0.27
Pex11b,1.0,0.97,1.01,0.79
Pex12,1.1,0.15,1.31,0.0
Pex16,-1.12,0.1,-1.21,0.01
Pex19,1.14,0.01,1.15,0.01
Pex26,1.1,0.22,1.25,0.01
Pex6,1.11,0.12,1.06,0.35
Pfas,1.49,0.0,1.54,0.0
Pfdn1,-1.12,0.08,-1.12,0.08
Pfdn2,-1.13,0.07,-1.24,0.0
Pfdn5,-1.16,0.02,-1.27,0.0
Pfdn6,-1.08,0.17,-1.16,0.01
Pfkl,1.13,0.12,1.07,0.35
Pfkm,1.12,0.04,1.14,0.03
Pfkp,1.19,0.01,1.21,0.0
Pfn1,-1.07,0.16,-1.15,0.01
Pfn2,1.11,0.23,1.43,0.0
Pgam1,1.03,0.44,1.07,0.11
Pgam5,-1.01,0.94,1.11,0.06
Pgbd5,1.33,0.01,1.32,0.01
Pgd,1.13,0.1,1.01,0.78
Pgk1,-1.01,0.85,1.1,0.06
Pgls,1.02,0.76,-1.17,0.02
Pgm2l1,1.25,0.06,1.79,0.0
Pgp,1.0,0.95,-1.03,0.59
Pgrmc1,-1.0,0.99,1.29,0.01
Pgrmc2,1.13,0.03,1.2,0.0
Phactr3,1.17,0.04,1.06,0.4
Phax,1.04,0.62,1.03,0.7
Phb,-1.13,0.01,-1.21,0.0
Phb2,-1.05,0.27,-1.06,0.16
Phc1,1.21,0.03,1.26,0.01
Phc2,1.05,0.38,-1.02,0.79
Phf1,-1.01,0.76,-1.04,0.36
Phf13,-1.12,0.05,1.16,0.01
Phf2,1.18,0.03,1.3,0.0
Phf23,-1.09,0.05,-1.04,0.31
Phf5a,-1.18,0.01,-1.17,0.01
Phgdh,-1.05,0.47,-1.09,0.18
Phkg2,1.13,0.05,1.01,0.87
Phlda1,-1.07,0.26,1.1,0.12
Phlda2,-1.02,0.84,-1.18,0.23
Phlda3,-1.04,0.89,-1.29,0.07
Phldb1,1.56,0.0,1.21,0.07
Phospho1,1.14,0.07,-1.04,0.53
Phospho2,-1.03,0.82,1.37,0.01
Phpt1,-1.25,0.0,-1.27,0.0
Phrf1,1.3,0.01,1.39,0.0
Phyh,1.2,0.01,1.08,0.22
Phyhip,1.14,0.08,1.06,0.39
Phyhipl,1.12,0.14,1.24,0.01
Pi4k2a,1.7,0.0,1.61,0.0
Pi4ka,1.38,0.01,1.57,0.0
Pi4kb,1.28,0.01,1.32,0.0
Pianp,-1.18,0.01,1.03,0.67
Pias3,1.21,0.01,1.16,0.04
Pias4,1.09,0.2,-1.0,0.97
Pick1,-1.01,0.83,-1.08,0.17
Pigc,-1.01,0.87,1.1,0.1
Pigh,1.02,0.79,1.12,0.16
Pigm,1.33,0.02,1.95,0.0
Pigp,1.02,0.98,1.05,0.68
Pigq,1.13,0.04,1.08,0.2
Pigs,1.02,0.61,1.03,0.55
Pigt,1.04,0.48,1.01,0.82
Pigw,1.46,0.0,1.88,0.0
Pigy,1.13,0.09,1.31,0.0
Pih1d1,-1.05,0.52,-1.13,0.14
Pik3ca,1.21,0.08,1.59,0.0
Pik3ip1,1.02,0.7,1.01,0.84
Pik3r2,1.13,0.05,1.1,0.11
Pim2,-1.05,0.24,1.0,0.93
Pim3,1.13,0.07,-1.04,0.59
Pin1,-1.07,0.22,-1.15,0.02
Pink1,1.15,0.01,-1.07,0.18
Pip4k2b,1.98,0.0,2.18,0.0
Pip4k2c,1.16,0.03,1.15,0.03
Pip5k1a,1.22,0.01,1.34,0.0
Pip5k1c,1.24,0.02,1.21,0.03
Pitpna,1.32,0.0,1.41,0.0
Pitpnb,1.04,0.52,1.1,0.11
Pitpnm1,1.26,0.02,1.23,0.03
Pitpnm2,1.32,0.0,1.44,0.0
Pitrm1,1.36,0.0,1.32,0.0
Pja1,-1.04,0.49,1.21,0.01
Pja2,1.33,0.01,1.6,0.0
Pkd1,1.47,0.0,1.7,0.0
Pkm,1.04,0.39,-1.05,0.38
Pkn1,1.4,0.0,1.26,0.01
Pla2g12a,1.02,0.77,-1.05,0.51
Pla2g15,-1.03,0.69,1.11,0.09
Plat,1.42,0.0,1.29,0.0
Plbd2,1.05,0.35,-1.11,0.09
Plcg1,1.34,0.0,1.42,0.0
Plcxd2,1.7,0.0,1.97,0.0
Pld2,1.39,0.01,1.25,0.03
Pld3,-1.03,0.47,1.0,0.96
Pld4,-1.01,0.94,-1.09,0.31
Plec,1.4,0.0,1.62,0.0
Plekha1,1.26,0.03,1.4,0.01
Plekha3,1.16,0.04,1.22,0.01
Plekhb1,1.1,0.19,-1.07,0.34
Plekhb2,1.13,0.03,1.26,0.0
Plekhf1,1.4,0.02,1.07,0.46
Plekhg5,1.38,0.0,1.21,0.07
Plekhh3,1.17,0.05,1.04,0.55
Plekhj1,-1.07,0.35,-1.31,0.0
Plekhm2,1.44,0.0,1.33,0.01
Plekhn1,1.51,0.0,1.41,0.0
Plekho1,-1.12,0.11,-1.21,0.02
Plk2,1.12,0.15,1.3,0.0
Pllp,1.06,0.38,-1.13,0.09
Plod3,1.08,0.31,1.02,0.69
Plp1,1.35,0.04,1.17,0.21
Plpp3,1.22,0.03,1.25,0.02
Plpp5,1.12,0.27,1.19,0.09
Plpp6,1.14,0.19,1.4,0.01
Plpp7,-1.02,0.71,-1.01,0.81
Plppr2,1.04,0.48,-1.0,0.93
Plppr3,1.02,0.87,-1.01,0.98
Plppr4,1.37,0.01,1.6,0.0
Plrg1,1.13,0.18,1.26,0.02
Plscr3,1.03,0.55,-1.09,0.13
Pltp,-1.03,0.77,-1.2,0.06
Plxna3,1.43,0.0,1.66,0.0
Plxnb2,1.31,0.05,1.27,0.07
Plxnb3,1.69,0.0,1.43,0.01
Pmepa1,-1.14,0.05,-1.25,0.0
Pmm1,-1.09,0.06,-1.17,0.0
Pmm2,1.18,0.02,1.02,0.74
Pmpca,1.2,0.01,1.2,0.01
Pmpcb,1.03,0.52,1.05,0.26
Pmvk,-1.12,0.08,-1.17,0.02
Pnck,-1.1,0.14,-1.04,0.58
Pnisr,1.84,0.0,1.84,0.0
Pnkd,1.09,0.09,1.09,0.08
Pnkp,1.05,0.52,-1.08,0.53
Pnma1,1.24,0.08,1.3,0.02
Pnma2,1.44,0.0,1.82,0.0
Pnma3,1.5,0.0,1.5,0.0
Pnmal1,1.39,0.01,1.63,0.0
Pnmal2,1.49,0.0,1.66,0.0
Pnn,1.68,0.0,1.74,0.0
Pno1,-1.04,0.57,1.09,0.24
Pnp,1.06,0.24,1.01,0.77
Pnpo,-1.17,0.2,-1.04,0.8
Pnrc1,-1.1,0.25,1.15,0.1
Pnrc2,1.09,0.27,1.18,0.06
Podxl2,1.02,0.68,-1.05,0.46
Pofut2,-1.01,0.83,-1.11,0.05
Pogk,1.39,0.01,1.64,0.0
Pold2,-1.08,0.13,-1.07,0.18
Pold4,-1.08,0.43,-1.23,0.06
Poldip2,-1.0,0.95,1.03,0.42
Poldip3,1.08,0.14,1.13,0.02
Pole3,1.09,0.13,1.16,0.02
Pole4,-1.1,0.14,-1.02,0.75
Polg,1.38,0.01,1.46,0.0
Poll,-1.04,0.48,-1.1,0.07
Polr1c,-1.15,0.01,-1.17,0.01
Polr2b,1.32,0.0,1.47,0.0
Polr2c,-1.1,0.04,-1.08,0.09
Polr2d,1.04,0.57,-1.01,0.88
Polr2e,-1.09,0.11,-1.19,0.0
Polr2f,-1.23,0.02,-1.26,0.01
Polr2g,-1.05,0.24,-1.04,0.36
Polr2j,-1.08,0.2,-1.26,0.0
Polr2k,-1.01,0.81,1.04,0.74
Polr2m,1.06,0.4,1.2,0.02
Polr3c,1.08,0.24,1.12,0.11
Polr3d,1.02,0.77,1.02,0.69
Polr3f,1.27,0.04,1.56,0.0
Polr3h,-1.04,0.51,-1.08,0.19
Polr3k,1.15,0.57,1.07,0.76
Polrmt,1.22,0.02,1.22,0.02
Pom121,1.22,0.04,1.3,0.01
Pomgnt1,1.11,0.04,1.06,0.22
Pomgnt2,-1.01,0.89,-1.01,0.8
Pomk,1.17,0.01,1.2,0.01
Pomt1,1.07,0.47,1.11,0.21
Pon2,1.13,0.18,1.11,0.31
Pop4,1.07,0.32,1.05,0.45
Pop5,-1.09,0.29,-1.18,0.06
Pop7,-1.09,0.06,-1.18,0.0
Por,1.07,0.23,1.01,0.9
Porcn,1.03,0.51,1.01,0.9
Pou3f1,1.07,0.49,1.06,0.48
Pou3f2,-1.01,0.96,1.41,0.0
Pou3f3,1.23,0.01,1.29,0.0
Pou3f4,1.39,0.06,1.64,0.02
Pou6f1,1.63,0.0,1.69,0.0
Ppa1,-1.08,0.16,1.07,0.22
Ppan,1.03,0.6,-1.1,0.14
Ppcs,1.01,0.87,-1.07,0.22
Ppdpf,-1.18,0.03,-1.4,0.0
Ppfia3,1.28,0.01,1.25,0.01
Ppfia4,1.36,0.0,1.25,0.02
Ppia,-1.17,0.0,-1.21,0.0
Ppib,-1.11,0.01,-1.2,0.0
Ppid,1.16,0.05,1.36,0.0
Ppif,1.02,0.7,1.03,0.59
Ppig,1.27,0.03,1.58,0.0
Ppil2,1.09,0.09,1.02,0.73
Ppil4,1.21,0.02,1.33,0.0
Ppip5k1,1.43,0.0,1.61,0.0
Ppm1b,1.16,0.09,1.35,0.0
Ppm1g,1.02,0.65,1.03,0.53
Ppme1,1.01,0.88,1.02,0.62
Ppox,1.0,0.95,-1.13,0.15
Ppp1ca,-1.01,0.77,-1.04,0.22
Ppp1cb,1.15,0.27,1.77,0.0
Ppp1cc,1.16,0.07,1.43,0.0
Ppp1r10,1.22,0.01,1.2,0.01
Ppp1r11,1.03,0.47,-1.06,0.11
Ppp1r12c,1.13,0.05,1.05,0.39
Ppp1r13b,1.21,0.01,1.29,0.0
Ppp1r14a,-1.05,0.59,-1.48,0.0
Ppp1r14b,-1.04,0.38,-1.29,0.0
Ppp1r15a,1.03,0.57,1.04,0.4
Ppp1r15b,1.27,0.02,1.55,0.0
Ppp1r16a,1.17,0.02,1.07,0.26
Ppp1r1a,1.13,0.3,-1.12,0.28
Ppp1r1b,-1.01,0.99,-1.25,0.04
Ppp1r37,1.15,0.05,1.07,0.32
Ppp1r3c,1.25,0.01,1.25,0.01
Ppp1r3d,1.19,0.07,1.36,0.0
Ppp1r3e,1.65,0.01,1.35,0.12
Ppp1r8,1.05,0.32,1.03,0.55
Ppp1r9b,1.28,0.01,1.15,0.08
Ppp2ca,1.17,0.07,1.52,0.0
Ppp2cb,1.06,0.3,1.16,0.03
Ppp2r1a,-1.01,0.77,-1.0,0.95
Ppp2r2a,1.18,0.06,1.43,0.0
Ppp2r5b,1.03,0.52,-1.02,0.75
Ppp3ca,1.47,0.01,1.62,0.0
Ppp3cb,1.13,0.15,1.43,0.0
Ppp3r1,1.13,0.19,1.37,0.01
Ppp4c,-1.09,0.09,-1.16,0.01
Ppp4r2,1.12,0.29,1.48,0.0
Ppp5c,1.01,0.79,1.04,0.29
Ppp6r1,1.35,0.0,1.24,0.02
Ppp6r2,1.31,0.0,1.31,0.0
Pprc1,1.22,0.04,1.4,0.0
Ppt1,1.31,0.01,1.39,0.0
Ppt2,1.09,0.11,1.05,0.31
Pptc7,1.17,0.03,1.35,0.0
Pqbp1,-1.07,0.15,-1.14,0.01
Praf2,-1.01,0.75,-1.05,0.31
Prcc,1.01,0.83,-1.03,0.6
Prdx1,1.03,0.56,-1.08,0.22
Prdx2,-1.18,0.0,-1.22,0.0
Prdx3,1.01,0.92,1.16,0.01
Prdx5,-1.15,0.0,-1.28,0.0
Prdx6,1.05,0.35,-1.02,0.8
Preb,1.05,0.23,-1.02,0.72
Prelid1,-1.1,0.03,-1.15,0.0
Prelid3b,-1.02,0.68,-1.03,0.64
Prelp,1.35,0.14,1.06,0.5
Prepl,1.58,0.0,1.79,0.0
Prickle1,1.16,0.06,1.32,0.0
Prkab1,1.2,0.02,1.15,0.07
Prkaca,1.04,0.35,-1.05,0.21
Prkag1,1.08,0.1,1.08,0.08
Prkag2,1.1,0.16,1.25,0.0
Prkar1a,1.23,0.0,1.29,0.0
Prkar1b,1.16,0.02,1.11,0.07
Prkcdbp,1.08,0.56,-1.38,0.02
Prkcg,1.16,0.09,1.21,0.03
Prkci,1.15,0.08,1.48,0.0
Prkcsh,1.05,0.23,-1.03,0.5
Prkcz,1.14,0.05,1.15,0.04
Prkra,1.13,0.08,1.14,0.08
Prkrir,1.12,0.13,1.4,0.0
Prmt1,-1.04,0.62,-1.09,0.34
Prmt5,1.09,0.07,1.13,0.02
Prnp,1.05,0.19,1.18,0.0
Prodh,1.41,0.0,1.18,0.09
Prosc,1.15,0.05,1.16,0.04
Prpf18,1.29,0.0,1.45,0.0
Prpf19,1.09,0.05,1.08,0.09
Prpf31,1.09,0.13,1.1,0.1
Prpf38a,1.03,0.69,1.2,0.05
Prpf38b,1.15,0.1,1.38,0.0
Prpf4,1.16,0.06,1.27,0.01
Prpf40b,1.23,0.0,1.17,0.02
Prpf4b,1.57,0.0,2.03,0.0
Prpf8,1.26,0.01,1.52,0.0
Prps1,1.07,0.43,1.36,0.0
Prpsap1,1.09,0.17,1.07,0.27
Prpsap2,1.1,0.14,1.21,0.01
Prr13,-1.04,0.45,-1.2,0.01
Prr18,1.44,0.04,1.12,0.37
Prr3,1.03,0.57,1.08,0.15
Prr7,-1.14,0.14,-1.38,0.0
Prrc2a,1.35,0.0,1.39,0.0
Prrc2c,1.59,0.01,2.15,0.0
Prrt1,1.1,0.18,1.02,0.81
Prrt2,1.13,0.06,1.07,0.26
Prrt3,1.14,0.05,1.15,0.04
Prss23,1.02,0.79,1.12,0.25
Psap,1.07,0.28,1.01,0.74
Psat1,1.14,0.09,1.16,0.08
Psd,1.04,0.59,-1.12,0.15
Psd2,1.21,0.04,1.27,0.02
Psenen,-1.15,0.01,-1.29,0.0
Psip1,1.2,0.07,1.5,0.0
Psma1,1.08,0.2,1.13,0.06
Psma2,-1.07,0.27,-1.03,0.56
Psma3,1.1,0.35,1.29,0.03
Psma4,-1.03,0.59,1.02,0.76
Psma5,-1.09,0.17,-1.07,0.26
Psma6,1.06,0.34,1.19,0.01
Psma7,-1.09,0.05,-1.16,0.0
Psmb1,-1.0,1.0,1.02,0.75
Psmb10,-1.1,0.09,-1.37,0.0
Psmb2,-1.17,0.02,-1.1,0.12
Psmb3,-1.22,0.0,-1.32,0.0
Psmb4,-1.06,0.12,-1.11,0.01
Psmb5,-1.2,0.0,-1.26,0.0
Psmb6,-1.28,0.0,-1.61,0.0
Psmb7,-1.09,0.08,-1.08,0.12
Psmb8,-1.13,0.51,-1.3,0.19
Psmc1,1.05,0.31,-1.04,0.44
Psmc2,1.02,0.65,1.01,0.75
Psmc3,-1.04,0.27,-1.13,0.01
Psmc3ip,-1.01,0.88,-1.09,0.13
Psmc4,-1.03,0.43,-1.08,0.04
Psmc5,-1.01,0.82,-1.05,0.22
Psmc6,1.1,0.24,1.33,0.0
Psmd1,1.2,0.01,1.39,0.0
Psmd11,1.16,0.03,1.19,0.01
Psmd12,1.1,0.13,1.16,0.03
Psmd13,-1.06,0.12,-1.07,0.1
Psmd2,1.15,0.03,1.15,0.03
Psmd3,1.03,0.5,-1.01,0.84
Psmd4,-1.05,0.27,-1.1,0.04
Psmd5,1.04,0.53,1.12,0.08
Psmd6,1.06,0.22,1.08,0.12
Psmd7,-1.04,0.39,-1.06,0.24
Psmd8,-1.06,0.15,-1.09,0.04
Psmd9,1.03,0.64,-1.03,0.71
Psme1,-1.23,0.04,-1.38,0.0
Psme3,1.1,0.02,1.14,0.0
Psmf1,-1.13,0.05,-1.21,0.0
Psmg1,1.04,0.46,1.0,0.97
Psmg4,-1.2,0.04,-1.27,0.01
Psrc1,1.09,0.35,-1.04,0.69
Ptbp1,1.14,0.23,1.04,0.61
Ptcd1,1.18,0.03,1.14,0.06
Ptcd3,1.2,0.06,1.5,0.0
Ptdss1,1.27,0.01,1.34,0.0
Ptdss2,1.11,0.04,1.09,0.09
Ptgds,1.67,0.58,-1.18,0.82
Ptger1,1.25,0.13,1.18,0.24
Ptges2,-1.03,0.48,-1.12,0.02
Ptges3,1.0,0.86,1.65,0.01
Ptges3l1,-1.01,0.87,1.12,0.12
Ptgr2,1.13,0.07,1.15,0.05
Ptgs2,1.59,0.01,1.8,0.0
Ptk2b,1.23,0.01,1.2,0.03
Ptma,-1.07,0.3,-1.05,0.45
Ptms,-1.23,0.01,-1.37,0.0
Ptn,1.08,0.44,1.08,0.5
Ptov1,1.44,0.0,1.33,0.0
Ptp4a1,1.19,0.13,1.44,0.01
Ptp4a2,1.33,0.0,1.38,0.0
Ptp4a3,-1.05,0.44,-1.15,0.02
Ptpa,1.05,0.31,-1.01,0.83
Ptpmt1,1.02,0.7,1.05,0.31
Ptpn11,1.37,0.0,1.36,0.0
Ptpn23,1.28,0.01,1.3,0.01
Ptpn5,1.16,0.01,1.19,0.0
Ptpra,1.21,0.01,1.2,0.02
Ptprn,1.24,0.02,1.26,0.01
Ptprs,1.4,0.01,1.49,0.0
Ptprz1,1.41,0.01,1.91,0.0
Ptrh2,1.08,0.27,1.15,0.05
Ptrhd1,-1.02,0.71,-1.18,0.08
Pttg1ip,1.12,0.15,1.02,0.75
Puf60,1.09,0.05,1.04,0.36
Pum2,1.2,0.07,1.68,0.0
Purb,2.19,0.0,2.7,0.0
Purg,1.2,0.28,1.73,0.01
Pus1,-1.05,0.36,-1.07,0.25
Pus3,1.2,0.04,1.51,0.0
Pusl1,1.41,0.0,1.26,0.03
Pvalb,1.01,0.85,-1.14,0.17
Pwp2,1.21,0.03,1.3,0.01
Pwwp2b,1.09,0.28,-1.02,0.72
Pycard,-1.26,0.14,-1.26,0.19
Pycr2,-1.06,0.3,-1.14,0.04
Pycrl,-1.14,0.02,-1.11,0.05
Pygb,1.2,0.02,1.22,0.01
Pygm,1.2,0.03,1.1,0.21
Pygo2,1.05,0.39,1.09,0.1
Qars,1.2,0.0,1.07,0.19
Qdpr,1.05,0.44,-1.07,0.28
Qpctl,1.1,0.04,1.02,0.62
Qrich1,1.28,0.0,1.31,0.0
R3hdm4,1.01,0.77,-1.03,0.59
Rab10,1.26,0.02,1.54,0.0
Rab11a,1.07,0.45,1.36,0.0
Rab11b,1.03,0.44,-1.1,0.05
Rab13,1.16,0.25,-1.04,0.77
Rab14,1.28,0.01,1.44,0.0
Rab15,1.14,0.05,1.11,0.1
Rab18,1.17,0.11,1.47,0.0
Rab1a,1.09,0.25,1.26,0.01
Rab1b,-1.03,0.43,-1.1,0.03
Rab21,1.28,0.01,1.46,0.0
Rab24,-1.02,0.59,-1.14,0.01
Rab26,-1.08,0.17,-1.04,0.5
Rab29,-1.04,0.55,-1.08,0.22
Rab33a,1.0,0.97,-1.09,0.22
Rab33b,1.08,0.32,1.21,0.04
Rab34,1.03,0.85,-1.15,0.09
Rab35,1.17,0.01,1.17,0.01
Rab3a,1.01,0.92,-1.01,0.76
Rab3d,1.16,0.05,1.12,0.11
Rab40b,1.09,0.3,1.27,0.01
Rab4a,1.02,0.72,1.02,0.63
Rab4b,-1.12,0.05,-1.22,0.0
Rab5a,1.53,0.0,1.81,0.0
Rab5b,1.13,0.02,1.24,0.0
Rab5c,-1.02,0.65,-1.04,0.28
Rab6a,1.06,0.48,1.35,0.01
Rab6b,1.2,0.02,1.33,0.0
Rab7a,1.02,0.59,1.03,0.48
Rab8a,1.06,0.24,-1.02,0.63
Rab9b,1.22,0.13,1.96,0.0
Rabac1,-1.18,0.01,-1.36,0.0
Rabggta,1.19,0.03,1.23,0.01
Rabggtb,1.02,0.64,1.14,0.03
Rabif,1.27,0.01,1.42,0.0
Rabl2a,1.05,0.35,1.04,0.38
Rabl6,1.17,0.02,1.15,0.03
Rac1,1.23,0.0,1.18,0.01
Rack1,-1.05,0.31,-1.09,0.06
Rad21,1.2,0.05,1.45,0.0
Rad23a,1.02,0.72,-1.17,0.03
Rad23b,1.26,0.03,1.68,0.0
Rae1,-1.02,0.73,1.0,0.99
Raf1,1.25,0.01,1.22,0.01
Rai1,1.32,0.01,1.48,0.0
Rala,1.44,0.0,1.61,0.0
Ralbp1,1.19,0.02,1.25,0.01
Ralgapb,1.3,0.0,1.54,0.0
Ralgds,1.26,0.02,1.21,0.04
Raly,-1.01,0.86,-1.03,0.61
Ramp2,-1.03,0.55,-1.23,0.0
Ran,-1.06,0.21,1.05,0.29
Ranbp1,-1.06,0.29,-1.12,0.07
Ranbp2,1.49,0.01,2.4,0.0
Ranbp6,1.21,0.14,1.93,0.0
Rangap1,1.03,0.6,1.07,0.21
Rangrf,-1.03,0.67,-1.12,0.07
